Datum	Transaktion	Antal	Värdepapper	Kurs	Valuta	Belopp
20141125	SÅLT	100	TRMO	67,50	SEK	6 740,00
20141125	SÅLT	100	TRMO	71,00	SEK	7 089,00
20141124	SÅLT	100	TRMO	72,50	SEK	7 240,00
20141111	SÅLT	100	TRMO	62,50	SEK	6 241,00
20141031	KÖPT	100	TRMO	55,00	SEK	-5 508,00
20141022	SÅLT	50	HEMF	113,25	SEK	5 654,00
20141022	KÖPT	50	TRMO	55,75	SEK	-2 795,00
20140822	KÖPT	25	CLAS B	128,00	SEK	-3 207,00
20140801	KÖPT	25	CLAS B	128,75	SEK	-3 226,00
20140724	KÖPT	20	HM B	287,10	SEK	-5 751,00
20140724	KÖPT	100	HEMF	112,50	SEK	-11 267,00
20140724	SÅLT	100	SEB A	93,45	SEK	9 331,00
20140717	KÖPT	50	TRMO	69,00	SEK	-3 457,00
20140714	KÖPT	25	SEB A	90,30	SEK	-2 265,00
20140707	KÖPT	25	SEB A	91,00	SEK	-2 282,00
20140630	KÖPT	50	TRMO	76,75	SEK	-3 845,00
20140623	KÖPT	50	TRMO	79,25	SEK	-3 970,00
20140616	KÖPT	50	TRMO	77,75	SEK	-3 895,00
20140611	KÖPT	25	CLAS B	133,00	SEK	-3 332,00
20140609	KÖPT	50	TRMO	71,25	SEK	-3 570,00
20140530	KÖPT	15	HM B	284,30	SEK	-4 272,00
20140520	KÖPT	50	SEB A	88,10	SEK	-4 412,00
20140328	KÖPT	15	HM B	277,60	SEK	-4 171,00